price,guests_included,review_scores_rating,id
$290.00,7,91.0,1142101
$125.00,1,98.0,1148625
$799.00,4,100.0,1151109
$185.00,1,100.0,1151864
$290.00,2,93.0,1159284
$149.00,8,94.0,1162640
$245.00,2,99.0,1171918
$395.00,2,97.0,1174214
$300.00,4,96.0,1174537
$300.00,4,100.0,1174758
$120.00,2,99.0,1177310
$160.00,4,99.0,1178260
$275.00,3,98.0,1178281
$300.00,6,93.0,1180103
$99.00,2,96.0,1182465
$100.00,1,96.0,1183521
$65.00,2,98.0,1195173
$60.00,1,98.0,1200068
$75.00,2,99.0,1201159
$225.00,3,99.0,1203062
$143.00,2,96.0,1203172
$99.00,1,88.0,1203526
$118.00,1,99.0,1203684
$250.00,2,100.0,1203849
$75.00,1,98.0,1205031
$125.00,1,92.0,1206032
$89.00,1,86.0,1206184
$79.00,1,84.0,1206233
$99.00,1,89.0,1206261
$1500.00,4,96.0,1209893
$175.00,1,100.0,1212513
$625.00,8,97.0,1212746
$525.00,2,98.0,1212822
$345.00,5,99.0,1214080
$148.00,1,97.0,1223107
$186.00,2,96.0,1223704
$217.00,2,98.0,1226557
$89.00,2,91.0,1226596
$104.00,1,93.0,1229606
$442.00,4,94.0,1237143
$165.00,1,98.0,1241029
$395.00,1,95.0,1245838
$50.00,1,75.0,1247160
$117.00,1,92.0,1249046
$430.00,2,97.0,1251570
$130.00,1,97.0,1261074
$130.00,2,96.0,1261122
$75.00,1,96.0,1267206
$295.00,3,99.0,1276953
$190.00,4,93.0,1277771
$105.00,2,99.0,1281132
$180.00,1,97.0,1281167
$200.00,4,100.0,1286943
$249.00,4,100.0,1290935
$1800.00,4,98.0,1291092
$216.00,1,97.0,1292217
$200.00,1,95.0,1299242
$89.00,1,92.0,1301798
$195.00,2,100.0,1301843
$425.00,1,98.0,1304068
$210.00,2,95.0,1304808
$280.00,4,100.0,1309496
$95.00,1,98.0,1317908
$119.00,1,98.0,1323983
$495.00,4,98.0,1324086
$575.00,3,100.0,1328186
$200.00,1,98.0,1329465
$152.00,1,99.0,1332343
$119.00,2,98.0,1333047
$450.00,8,92.0,1336798
$90.00,2,97.0,1336998
$145.00,2,97.0,1340755
$175.00,1,92.0,1344243
$210.00,4,88.0,1344752
$52.00,1,93.0,1351626
$47.00,1,96.0,1351783
$150.00,1,98.0,1352111
$155.00,2,98.0,1355744
$145.00,2,95.0,1356129
$159.00,1,98.0,1356817
$299.00,2,100.0,1364882
$125.00,1,94.0,1388523
$500.00,5,91.0,1391982
$129.00,2,97.0,1392204
$99.00,2,98.0,1393654
$250.00,4,94.0,1397537
$350.00,1,100.0,1405046
$650.00,6,97.0,1407244
$160.00,2,96.0,1407881
$75.00,1,98.0,1408281
$185.00,2,97.0,1409218
$246.00,1,99.0,1421671
$135.00,2,97.0,1421774
$119.00,1,98.0,1421937
$199.00,2,96.0,1428465
$89.00,1,100.0,1428553
$142.00,1,91.0,1428909
$725.00,1,93.0,1429022
$120.00,1,96.0,1433011
$175.00,2,98.0,1433917
$490.00,6,100.0,1434314
$150.00,1,97.0,1434425
$165.00,1,93.0,1437321
$95.00,1,93.0,1438286
$274.00,2,97.0,1438864
$131.00,1,100.0,1442027
$250.00,4,100.0,1450899
$157.00,1,89.0,1454220
$259.00,5,95.0,1456153
$575.00,2,99.0,1460174
$170.00,2,86.0,1460628
$173.00,1,100.0,1466344
$140.00,2,97.0,1467857
$88.00,1,98.0,1470340
$125.00,2,98.0,1471683
$175.00,1,97.0,1474209
$85.00,2,98.0,1478708
$258.00,4,93.0,1479666
$265.00,1,99.0,1480015
$345.00,1,98.0,1482273
$199.00,2,96.0,1482730
$179.00,1,95.0,1483853
$250.00,1,99.0,1484792
$167.00,2,92.0,1487849
$295.00,5,99.0,1489175
$300.00,1,92.0,1489782
$170.00,1,97.0,1494771
$249.00,4,92.0,1496833
$337.00,4,97.0,1498953
$300.00,4,98.0,1499630
$185.00,1,97.0,1499843
$250.00,6,99.0,1504826
$499.00,4,97.0,1506702
$150.00,2,99.0,1510363
$145.00,1,100.0,1511076
$250.00,2,98.0,1520790
$250.00,4,93.0,1520929
$149.00,1,97.0,1520938
$165.00,2,99.0,1524346
$210.00,2,96.0,1525137
$125.00,2,100.0,1525886
$145.00,3,98.0,1530745
$235.00,2,94.0,1531273
$148.00,1,89.0,1534021
$350.00,4,98.0,1535946
$120.00,1,96.0,1537497
$100.00,1,97.0,1547477
$199.00,2,97.0,1550913
$195.00,6,94.0,1556680
$800.00,4,93.0,1569288
$199.00,2,94.0,1578597
$525.00,6,100.0,1579304
$395.00,2,98.0,1584021
$180.00,2,95.0,1587410
$120.00,1,100.0,1588695
$350.00,1,98.0,1589228
$220.00,2,99.0,1598872
