minimum_nights,review_scores_rating,id,neighbourhood
30,100.0,1428553,The Castro
30,91.0,1428909,Mission District
5,93.0,1429022,Marina
1,96.0,1433011,Russian Hill
30,98.0,1433917,The Castro
3,100.0,1434314,Noe Valley
4,97.0,1434425,Duboce Triangle
2,93.0,1437321,Cole Valley
30,93.0,1438286,Bernal Heights
3,97.0,1438864,Noe Valley
30,100.0,1442027,Hayes Valley
1,100.0,1450899,Mission District
30,89.0,1454220,Haight-Ashbury
4,95.0,1456153,Bernal Heights
3,99.0,1460174,Alamo Square
2,86.0,1460628,Richmond District
30,100.0,1466344,SoMa
30,97.0,1467857,Western Addition/NOPA
3,98.0,1470340,Crocker Amazon
3,98.0,1471683,Duboce Triangle
1,97.0,1474209,Union Square
2,98.0,1478708,Richmond District
30,93.0,1479666,Lower Haight
3,99.0,1480015,Cole Valley
30,98.0,1482273,Cow Hollow
4,96.0,1482730,Bernal Heights
2,95.0,1483853,Union Square
30,99.0,1484792,Western Addition/NOPA
2,92.0,1487849,Bernal Heights
3,99.0,1489175,Mission Terrace
2,92.0,1489782,Alamo Square
30,97.0,1494771,Noe Valley
30,92.0,1496833,Lower Haight
3,97.0,1498953,Bayview
3,98.0,1499630,Mission District
1,97.0,1499843,Western Addition/NOPA
6,99.0,1504826,Mission Terrace
1,97.0,1506702,Cow Hollow
3,99.0,1510363,Sunnyside
2,100.0,1511076,Mission District
3,98.0,1520790,Western Addition/NOPA
2,93.0,1520929,Potrero Hill
30,97.0,1520938,Western Addition/NOPA
30,99.0,1524346,Bernal Heights
30,96.0,1525137,Pacific Heights
1,100.0,1525886,Bernal Heights
30,98.0,1530745,Nob Hill
30,94.0,1531273,Hayes Valley
30,89.0,1534021,Haight-Ashbury
2,98.0,1535946,The Castro
30,96.0,1537497,SoMa
30,97.0,1547477,Western Addition/NOPA
5,97.0,1550913,Mission District
2,94.0,1556680,Richmond District
30,93.0,1569288,Haight-Ashbury
1,94.0,1578597,Potrero Hill
4,100.0,1579304,Bernal Heights
30,98.0,1584021,Mission District
6,95.0,1587410,Mission District
30,100.0,1588695,The Castro
30,98.0,1589228,Noe Valley
4,99.0,1598872,Duboce Triangle
4,98.0,1598886,Pacific Heights
2,94.0,1605483,Cole Valley
30,93.0,1606292,Hayes Valley
2,96.0,1614453,Downtown
1,99.0,1614622,Western Addition/NOPA
2,97.0,1615088,Western Addition/NOPA
1,95.0,1615158,Outer Sunset
2,100.0,1618782,Western Addition/NOPA
1,95.0,1620039,Downtown
3,96.0,1620411,Noe Valley
3,98.0,1623609,Mission District
2,98.0,1624068,Union Square
30,95.0,1627259,Nob Hill
30,96.0,1627455,Downtown
30,98.0,1629330,SoMa
1,98.0,1629740,Downtown
3,94.0,1633126,Excelsior
1,80.0,1633173,Excelsior
1,89.0,1633225,Excelsior
2,95.0,1633839,Mission District
2,99.0,1633933,Haight-Ashbury
3,97.0,1641060,Balboa Terrace
